n,d1,d2,d3,d4,A1,A2,A3,B3,B4,D3,D4,c4,c4prime,c5
1,NA,1,0.82,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1.7725,1.1284,0.8525,0.954,1.19679568,1.879936497,2.6587,0,3.2665,0,3.2665,0.797885,0.79785,0.60281
3,1.382,1.6926,0.8884,1.588,1.253292914,1.023307815,1.9544,0,2.5682,0,2.5746,0.886227,0.87153,0.463251
4,1.2533,2.0588,0.8794,1.978,1.196840341,0.7285797552,1.6281,0,2.266,0,2.2821,0.921318,0.905763,0.38881
5,1.1894,2.3259,0.8641,2.257,1.127997971,0.576826513,1.4273,0,2.089,0,2.1145,0.939986,0.925222,0.341213
6,1.1512,2.5344,0.848,2.472,1.063885399,0.4832484499,1.2871,0.0304,1.9696,0,2.0038,0.951533,0.937892,0.307547
7,1.1259,2.7044,0.8332,2.645,1.007099582,0.4192772589,1.1819,0.1177,1.8823,0.0757,1.9243,0.959369,0.946837,0.282154
8,1.1078,2.8472,0.8198,2.791,0.9574473477,0.3725274557,1.0991,0.1851,1.8149,0.1362,1.8638,0.96503,0.953503,0.262139
9,1.0942,2.97,0.8078,2.915,0.9139097057,0.3367003367,1.0317,0.2391,1.7609,0.184,1.816,0.969311,0.958669,0.245838
10,NA,3.078,0.7971,3.024,NA,0.3082141969,0.9754,0.2837,1.7163,0.223,1.777,0.972659,0.962793,0.232238
11,NA,3.173,0.7873,3.121,NA,0.2850721821,0.9274,0.3213,1.6787,0.2556,1.7444,0.97535,0.966163,0.220663
12,NA,3.258,0.7785,3.207,NA,0.2658150411,0.8859,0.3535,1.6465,0.2833,1.7167,0.977559,0.968968,0.210662
13,NA,3.336,0.7704,3.285,NA,0.2494155559,0.8495,0.3816,1.6184,0.3072,1.6928,0.979406,0.971341,0.201901
14,NA,3.407,0.763,3.356,NA,0.2353342312,0.8173,0.4062,1.5938,0.3281,1.6719,0.980971,0.973375,0.194154
15,NA,3.472,0.7562,3.422,NA,0.223098119,0.7885,0.4282,1.5718,0.3466,1.6534,0.982316,0.975137,0.187231
16,NA,3.532,0.7499,3.482,NA,0.2123442809,0.7626,0.4479,1.5521,0.363,1.637,0.983484,0.976679,0.180995
17,NA,3.588,0.7441,3.538,NA,0.2027889841,0.7391,0.4657,1.5343,0.3779,1.6221,0.984506,0.978039,0.175351
18,NA,3.64,0.7386,3.591,NA,0.1942601047,0.7176,0.4818,1.5182,0.3913,1.6087,0.98541,0.979249,0.170197
19,NA,3.689,0.7335,3.64,NA,0.1865674171,0.6979,0.4966,1.5034,0.4035,1.5965,0.986214,0.980331,0.165475
20,NA,3.735,0.7287,3.686,NA,0.1796038536,0.6797,0.5102,1.4898,0.4147,1.5853,0.986934,0.981305,0.161125
21,NA,3.778,0.7242,3.73,NA,0.1732804846,0.6629,0.5228,1.4772,0.425,1.575,0.987583,0.982187,0.157098
22,NA,3.819,0.7199,3.771,NA,0.1674789602,0.6473,0.5344,1.4656,0.4345,1.5655,0.98817,0.982988,0.153362
23,NA,3.858,0.7159,3.811,NA,0.1621418461,0.6327,0.5452,1.4548,0.4434,1.5566,0.988705,0.98372,0.149875
24,NA,3.895,0.7121,3.847,NA,0.1572201375,0.6191,0.5553,1.4447,0.4516,1.5484,0.989193,0.984391,0.146619
25,NA,3.931,0.7084,3.883,NA,0.1526329178,0.6063,0.5648,1.4352,0.4593,1.5407,0.98964,0.985009,0.143571
26,NA,3.965,NA,NA,NA,0.1483854743,0.5943,0.5737,1.4263,0.4665,1.5335,0.990052,0.985579,0.140702
27,NA,3.997,NA,NA,NA,0.1444459017,0.5829,0.582,1.418,0.4733,1.5267,0.990433,0.986107,0.137994
28,NA,4.028,NA,NA,NA,0.1407514175,0.5722,0.5899,1.4101,0.4797,1.5203,0.990786,0.986597,0.135437
29,NA,4.058,NA,NA,NA,0.1372809301,0.5621,0.5974,1.4026,0.4857,1.5143,0.991113,0.987054,0.133023
30,NA,4.086,NA,NA,NA,0.1340485946,0.5525,0.6044,1.3956,0.4914,1.5086,0.991418,0.98748,0.13073
31,NA,4.113,NA,NA,NA,0.1310031379,NA,NA,NA,NA,NA,0.991703,0.987878,0.12855
32,NA,4.139,NA,NA,NA,0.1281300038,NA,NA,NA,NA,NA,0.991969,0.988252,0.126481
33,NA,4.164,NA,NA,NA,0.1254161786,NA,NA,NA,NA,NA,0.992219,0.988603,0.124505
34,NA,4.189,NA,NA,NA,0.1228206626,NA,NA,NA,NA,NA,0.992454,0.988934,0.122618
35,NA,4.213,NA,NA,NA,0.1203637676,NA,NA,NA,NA,NA,0.992675,0.989246,0.120815
36,NA,4.236,NA,NA,NA,0.1180358829,NA,NA,NA,NA,NA,0.992884,0.98954,0.119086
37,NA,4.258,NA,NA,NA,0.1158283142,NA,NA,NA,NA,NA,0.99308,0.989819,0.11744
38,NA,4.28,NA,NA,NA,0.1137066036,NA,NA,NA,NA,NA,0.993267,0.990083,0.115848
39,NA,4.301,NA,NA,NA,0.1116913419,NA,NA,NA,NA,NA,0.993443,0.990333,0.114328
40,NA,4.322,NA,NA,NA,0.1097504972,NA,NA,NA,NA,NA,0.993611,0.990571,0.112859
41,NA,4.342,NA,NA,NA,0.1079044877,NA,NA,NA,NA,NA,0.99377,0.990797,0.11145
42,NA,4.361,NA,NA,NA,0.106147684,NA,NA,NA,NA,NA,0.993922,0.991013,0.110087
43,NA,4.38,NA,NA,NA,0.1044510756,NA,NA,NA,NA,NA,0.994066,0.991218,0.108779
44,NA,4.398,NA,NA,NA,0.1028347014,NA,NA,NA,NA,NA,0.994203,0.991415,0.107519
45,NA,4.415,NA,NA,NA,0.1012941326,NA,NA,NA,NA,NA,0.994335,0.991602,0.106292
46,NA,4.432,NA,NA,NA,0.09980276816,NA,NA,NA,NA,NA,0.99446,0.991782,0.105116
47,NA,4.449,NA,NA,NA,0.09835805226,NA,NA,NA,NA,NA,0.99458,0.991953,0.103974
48,NA,4.466,NA,NA,NA,0.0969576135,NA,NA,NA,NA,NA,0.994695,0.992118,0.102868
49,NA,4.482,NA,NA,NA,0.09562057755,NA,NA,NA,NA,NA,0.994806,0.992276,0.101789
50,NA,4.498,NA,NA,NA,0.09432282541,NA,NA,NA,NA,NA,0.994911,0.992427,0.100758
